CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|43,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|43|1,nunc,temporal,para,6,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|43,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|43|5,do,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|44,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|44|4,largior,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|45,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,quotiens,temporal,hypo,24,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|45,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|45|8,obstipesco,main,main,24,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|46,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,donec,temporal,hypo,14,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|47,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|47|2,aio,main,main,7,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|48,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|48|10,expello,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|49,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|49|5,consumo,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|50,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|50|13,semper,temporal,para,12,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|50,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|50|4,perduco,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51|8,rursus,temporal,para,12,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51|4,fallo,main,main,12,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51|17,fallo,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|52,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|52|5,queror,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|53,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|53|1,dum,temporal,para,7,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|53,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,dum,temporal,hypo,7,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|54,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|54|2,sum,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|55,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|55|12,cogo,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|56,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|56|4,patior,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|57,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|57|2,licet,main,main,17,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|58,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|58|6,sino,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|59,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|59|13,eo,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|60,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|60|6,sum,main,main,8,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|61,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|61|1,sum,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63|9,huc,spatial,para,13,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63|5,contendo,main,main,13,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63|12,fallo,main,main,13,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|64,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|64|3,fero,main,main,3,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|65,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|65|1,scio,main,main,11,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|65,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|65|11,sum,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66|5,hic,spatial,para,10,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66|6,committo,main,main,10,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66|10,quaero,main,main,10,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|67,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|67|1,sum,main,main,13,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|67,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|67|14,differo,main,main,13,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|68,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|68|5,sum,main,main,5,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|69,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|69|4,contemno,main,main,12,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|69,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|69|17,contemno,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|70,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,15,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|70,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|70|9,cum,temporal,hypo,15,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|70,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|70|4,tento,main,main,15,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71|3,semper,temporal,para,11,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71|1,maneo,main,main,11,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71|13,invenio,main,main,11,4393
4,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71|5,adoro,parenth,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|72,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|72|6,compesco,main,main,14,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|72,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|72|9,sino,main,main,14,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|73,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|73|3,volo,main,main,4,4393
